key	text	tooltip
#Loc;1;text/!!!xyy_custom.loc		
ceo_nodes_description_hlyjdingzhifchenghao	齐天大圣	false
ceo_nodes_description_hlyjdingzhifwuqi	此物两头是两个金箍，中间乃一段乌铁，紧挨箍有镌成的一行字，唤作“如意金箍棒，重一万三千五百斤”	false
ceo_nodes_description_hlyjdingzhifyifu	锁子黄金甲	false
ceo_nodes_description_hlyjdingzhifyifu2	行者装	false
ceo_nodes_description_hlyjdingzhirchenghao	破军歌姬	false
ceo_nodes_description_hlyjdingzhiryifu	神威灵装	false
ceo_nodes_description_hlyjdingzhischenghao	鏖杀公	false
ceo_nodes_description_hlyjdingzhisyifu	神威灵装	false
ceo_nodes_description_hlyjdingzhitchenghao	灭绝天使	false
ceo_nodes_description_hlyjdingzhityifu	神威灵装	false
ceo_nodes_description_hlyjdingzhiuchenghao	精灵王 	false
ceo_nodes_description_hlyjdingzhiuyifu	学生服	false
ceo_nodes_description_hlyjdingzhivchenghao	梦魇精灵	false
ceo_nodes_description_hlyjdingzhivfujian	刻刻帝	false
ceo_nodes_description_hlyjdingzhivgun	燧发枪	false
ceo_nodes_description_hlyjdingzhivyifu	神威灵装	false
ceo_nodes_description_hlyjdingzhivyifu2	内衣	false
ceo_nodes_description_hlyjdingzhiwchenghao	炎魔绚鬼	false
ceo_nodes_description_hlyjdingzhiwyifu	神威灵装	false
ceo_nodes_description_hlyjdingzhixchenghao	隐居者	false
ceo_nodes_description_hlyjdingzhixyifu	神威灵装	false
ceo_nodes_description_hlyjdingzhizfujian	刻刻帝	false
ceo_nodes_title_hlyjdingzhifchenghao	齐天大圣	false
ceo_nodes_title_hlyjdingzhifwuqi	如意金箍棒	false
ceo_nodes_title_hlyjdingzhifyifu	锁子黄金甲	false
ceo_nodes_title_hlyjdingzhifyifu2	行者装	false
ceo_nodes_title_hlyjdingzhirchenghao	破军歌姬	false
ceo_nodes_title_hlyjdingzhiryifu	神威灵装	false
ceo_nodes_title_hlyjdingzhischenghao	鏖杀公	false
ceo_nodes_title_hlyjdingzhisyifu	神威灵装	false
ceo_nodes_title_hlyjdingzhitchenghao	灭绝天使	false
ceo_nodes_title_hlyjdingzhityifu	神威灵装	false
ceo_nodes_title_hlyjdingzhiuchenghao	精灵王 	false
ceo_nodes_title_hlyjdingzhiuyifu	学生服	false
ceo_nodes_title_hlyjdingzhivchenghao	梦魇精灵	false
ceo_nodes_title_hlyjdingzhivfujian	刻刻帝	false
ceo_nodes_title_hlyjdingzhivgun	燧发枪	false
ceo_nodes_title_hlyjdingzhivyifu	神威灵装	false
ceo_nodes_title_hlyjdingzhivyifu2	内衣	false
ceo_nodes_title_hlyjdingzhiwchenghao	炎魔绚鬼	false
ceo_nodes_title_hlyjdingzhiwyifu	神威灵装	false
ceo_nodes_title_hlyjdingzhixchenghao	隐居者	false
ceo_nodes_title_hlyjdingzhixyifu	神威灵装	false
ceo_nodes_title_hlyjdingzhizfujian	刻刻帝	false
character_skills_localised_description_hlyjdingzhifjineng	★★★ 召唤技能 ★★★\\n丨使用次数：10丨	false
character_skills_localised_description_hlyjdingzhifjineng2	★★★ 主动技能 ★★★\\n丨使用次数：∞丨	false
character_skills_localised_description_hlyjdingzhivjineng	★★★ 近战伤害 ★★★\\n丨使用次数：∞丨	false
character_skills_localised_name_hlyjdingzhifjineng	猴子猴孙	false
character_skills_localised_name_hlyjdingzhifjineng2	火眼金睛	false
character_skills_localised_name_hlyjdingzhivjineng	震天撼地	false
effects_description_hlyjdingzhifjineng	技能：猴子猴孙	false
effects_description_hlyjdingzhifjineng2	技能：火眼金睛	false
effects_description_hlyjdingzhivjineng	技能：震天撼地	false
land_units_onscreen_name_hlyjdingzhif	孙悟空	false
land_units_onscreen_name_hlyjdingzhir	诱宵美九	false
land_units_onscreen_name_hlyjdingzhis	夜刀神十香	false
land_units_onscreen_name_hlyjdingzhit	鸢一折纸	false
land_units_onscreen_name_hlyjdingzhiu	五河士道	false
land_units_onscreen_name_hlyjdingzhiv	时崎狂三	false
land_units_onscreen_name_hlyjdingzhiw	五河琴里	false
land_units_onscreen_name_hlyjdingzhix	四糸乃	false
names_name_1024529942	夜刀神	false
names_name_1041490518		false
names_name_1310545363	折纸	false
names_name_1339835525	狂三	false
names_name_1349981016	鸢一	false
names_name_162315100	十香	false
names_name_1740907689	诱宵	false
names_name_1888098311	孙	false
names_name_1940614869	琴里	false
names_name_295016684	五河	false
names_name_369688584	时崎	false
names_name_445403952	悟空	false
names_name_533969670	士道	false
names_name_575700928	五河	false
names_name_616335882	四糸乃	false
names_name_743623095	美九	false
special_ability_phases_onscreen_name_hlyjdingzhifjineng	猴子猴孙	false
special_ability_phases_onscreen_name_hlyjdingzhifjineng2	火眼金睛	false
special_ability_phases_onscreen_name_hlyjdingzhivjineng	震天撼地	false
unit_abilities_onscreen_name_hlyjdingzhifjineng	猴子猴孙	false
unit_abilities_onscreen_name_hlyjdingzhifjineng2	火眼金睛	false
unit_abilities_onscreen_name_hlyjdingzhivjineng	震天撼地	false
unit_abilities_tooltip_text_hlyjdingzhifjineng	★★★ 召唤技能 ★★★\\n猴王拔下猴毛，吹一口仙气，便变成无数猴子猴孙。\\n丨使用次数：10丨	false
unit_abilities_tooltip_text_hlyjdingzhifjineng2	★★★ 主动技能 ★★★\\n行者只需眨一眨眼，妖怪们便会原形毕露。\\n丨使用次数：∞丨	false
unit_abilities_tooltip_text_hlyjdingzhivjineng	★★★ 近战伤害 ★★★\\n丨使用次数：∞丨	false
unit_ability_types_localised_description_hlyjdingzhifjineng	限制次数：10	false
unit_ability_types_localised_description_hlyjdingzhifjineng2	限制次数：∞	false
unit_ability_types_onscreen_name_hlyjdingzhifjineng	召唤技能	false
unit_ability_types_onscreen_name_hlyjdingzhifjineng2	主动技能	false
character_skills_localised_description_hlyjdingzhixjineng	★★★ 主动增益 ★★★\\n丨使用次数：∞丨	false
character_skills_localised_name_hlyjdingzhixjineng	恢复术	false
effects_description_hlyjdingzhixjineng	技能：恢复术	false
special_ability_phases_onscreen_name_hlyjdingzhixjineng	恢复术	false
unit_abilities_onscreen_name_hlyjdingzhixjineng	恢复术	false
unit_abilities_tooltip_text_hlyjdingzhixjineng	★★★ 主动增益 ★★★\\n丨使用次数：∞丨	false
character_skills_localised_description_hlyjdingzhixjineng2	★★★ 远程减益 ★★★\\n丨使用次数：∞丨	false
character_skills_localised_name_hlyjdingzhixjineng2	恢复术	false
effects_description_hlyjdingzhixjineng2	技能：冰结傀儡	false
special_ability_phases_onscreen_name_hlyjdingzhixjineng2	冰结傀儡	false
unit_abilities_onscreen_name_hlyjdingzhixjineng2	冰结傀儡	false
unit_abilities_tooltip_text_hlyjdingzhixjineng2	★★★ 远程减益 ★★★\\n丨使用次数：∞丨	false
ceo_nodes_title_hlyjdingzhixfujian	手偶	false
ceo_nodes_title_hlyjdingzhiasuicong	女仆	false
names_name_5000001	时雨	false
names_name_5000002	绮罗	false
ceo_nodes_title_hlyjdingzhigchenghao	糖露星霜	false
ceo_nodes_title_hlyjdingzhigyifu	糖露星霜・偶像装	false
land_units_onscreen_name_hlyjdingzhig	时雨绮罗	false
character_skills_localised_description_hlyjdingzhigjineng	★★★ 主动增益 ★★★\\n丨使用次数：∞丨	false
character_skills_localised_name_hlyjdingzhigjineng	即兴演出	false
effects_description_hlyjdingzhigjineng	技能：即兴演出	false
special_ability_phases_onscreen_name_hlyjdingzhigjineng	即兴演出	false
unit_abilities_onscreen_name_hlyjdingzhigjineng	即兴演出	false
unit_abilities_tooltip_text_hlyjdingzhigjineng	★★★ 主动增益 ★★★\\n丨使用次数：∞丨	false
