key	text	tooltip
#Loc;1;text/!!!xyy_roguelike.loc		
mod_xyy_roguelike_icon_earth	[[img:character_attribute_authority]][[/img]]	false
mod_xyy_roguelike_description_earth	[[img:character_attribute_authority]][[/img]]每增加一点，派系范围士气+2，人物满意度+1	false
mod_xyy_roguelike_icon_fire	[[img:character_attribute_instinct]][[/img]]	false
mod_xyy_roguelike_description_fire	[[img:character_attribute_instinct]][[/img]]每增加一点，派系范围部队所有伤害+3%，部队维持费-1%	false
mod_xyy_roguelike_icon_metal	[[img:character_attribute_expertise]][[/img]]	false
mod_xyy_roguelike_description_metal	[[img:character_attribute_expertise]][[/img]]每增加一点，派系范围部队伤害抗性+1%，建筑维持费-2%	false
mod_xyy_roguelike_icon_water	[[img:character_attribute_cunning]][[/img]]	false
mod_xyy_roguelike_description_water	[[img:character_attribute_cunning]][[/img]]每增加一点，派系范围部队箭矢容量+2%，产值（所有来源）+1%	false
mod_xyy_roguelike_icon_wood	[[img:character_attribute_resolve]][[/img]]	false
mod_xyy_roguelike_description_wood	[[img:character_attribute_resolve]][[/img]]每增加一点，派系范围将领生命值+2%，人口增长+1000	false
dilemmas_localised_title_roguelike_dilemma	是否开启「逐鹿天下」？	false
dilemmas_localised_description_roguelike_dilemma	「逐鹿天下」模式将会随机分配地图，一旦启用，将会取消目前的所有任务，并且禁用卡芙卡剧情（卡芙卡会直接获得专属武器和坐骑）。\\n注意：该操作不可逆。根据您的硬件配置，重新生成地图可能需要几分钟的时间，请耐心等待。	false
cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemmaFIRST	「逐鹿天下」	false
cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemmaSECOND	正常模式	false
dilemmas_localised_title_roguelike_dilemma_continue	继续「逐鹿天下」	false
dilemmas_localised_description_roguelike_dilemma_continue	检测到未完成的武将选择或者赐福选择的存档，该存档可能已经损坏，点击继续将尝试修复	false
cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemma_continueFIRST	继续	false
uied_component_texts_localised_string_title_NewState_Text_2000005	[[col:flavour]]选择赐福[[/col]]	false
uied_component_texts_localised_string_title_NewState_Text_2000006	[[col:flavour]]逐鹿商店[[/col]]	false
mod_xyy_roguelike_info	鼠标悬停查看详细||	false
