"context" "target"
"key	text	tooltip" ""
"#Loc;1;text/!!!xyy_roguelike.loc		" ""
"mod_xyy_roguelike_icon_earth	[[img:character_attribute_authority]][[/img]]	false" ""
"mod_xyy_roguelike_description_earth	[[img:character_attribute_authority]][[/img]]for" "each"
"mod_xyy_roguelike_icon_fire	[[img:character_attribute_instinct]][[/img]]	false" ""
"mod_xyy_roguelike_description_fire	[[img:character_attribute_instinct]][[/img]]for" "each"
"mod_xyy_roguelike_icon_metal	[[img:character_attribute_expertise]][[/img]]	false" ""
"mod_xyy_roguelike_description_metal	[[img:character_attribute_expertise]][[/img]]for" "each"
"mod_xyy_roguelike_icon_water	[[img:character_attribute_cunning]][[/img]]	false" ""
"mod_xyy_roguelike_description_water	[[img:character_attribute_cunning]][[/img]]for" "each"
"mod_xyy_roguelike_icon_wood	[[img:character_attribute_resolve]][[/img]]	false" ""
"mod_xyy_roguelike_description_wood	[[img:character_attribute_resolve]][[/img]]for" "each"
"dilemmas_localised_title_roguelike_dilemma	Enable" "Struggle Hegemony?	false"
"dilemmas_localised_description_roguelike_dilemma	Struggle" "Hegemony"
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemmaFIRST	Struggle" "Hegemony(Roguelike"
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemmaSECOND	Story" "Mode"
"dilemmas_localised_title_roguelike_dilemma_continue	Continue" "the"
"dilemmas_localised_description_roguelike_dilemma_continue	Detected" "unfinished"
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemma_continueFIRST	Continue	false" ""
"uied_component_texts_localised_string_title_NewState_Text_2000005	[[col:flavour]]Choose" "Blessing[[/col]]	false"
"uied_component_texts_localised_string_title_NewState_Text_2000006	[[col:flavour]]Hegemony" "Store[[/col]]	false"
"mod_xyy_roguelike_info	Hover" "to"
"effect_bundles_localised_title_xyy_roguelike_1	People's" "Desire	false"
"effect_bundles_localised_description_xyy_roguelike_1	After" "your"
"mod_info_xyy_roguelike_1	After" "your"
"effect_bundles_localised_title_xyy_roguelike_2	Undiscouraged	false" ""
"effect_bundles_localised_description_xyy_roguelike_2	When" "you"
"mod_info_xyy_roguelike_2	When" "you"
