"location"	"source"	"target"
"key"	"text"	""
"#Loc;1;text/!!!xyy_loc.loc"	""	""
"unit_ability_types_onscreen_name_3k_main_ability_fulong"	"接到攻击命令或参与单挑以冷却倒计时"	""
"unit_ability_types_localised_description_3k_main_ability_fulong"	"终极技能"	""
"unit_abilities_tooltip_text_3k_main_ability_fulong"	"卡芙卡的终结技，可造成大量伤害，并且使受到攻击的敌方单位陷入触电状态，持续25秒。"	""
"unit_abilities_onscreen_name_3k_main_ability_fulong"	"悲剧尽头的颤音"	""
"special_ability_phases_onscreen_name_3k_main_ability_fulong"	"悲剧尽头的颤音"	""
"character_skills_localised_name_3k_main_skill_special_ability_fire_fulong"	"悲剧尽头的颤音"	""
"character_skills_localised_description_3k_main_skill_special_ability_fire_fulong"	"卡芙卡的终结技，可造成大量伤害，并且使受到攻击的敌方单位陷入触电状态，持续25秒。"	""
"effects_description_3k_main_skill_fulong"	"技能：悲剧尽头的颤音"	""
"unit_ability_types_onscreen_name_3k_main_ability_haolong"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_haolong"	"诗仙剑序・太白行・飞剑决浮云"	""
"unit_abilities_tooltip_text_3k_main_ability_haolong"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_haolong"	"诗仙剑序・太白行・飞剑决浮云"	""
"special_ability_phases_onscreen_name_3k_main_ability_haolong"	"诗仙剑序・太白行・飞剑决浮云"	""
"character_skills_localised_name_3k_main_skill_special_ability_fire_haolong"	"诗仙剑序・太白行・飞剑决浮云"	""
"character_skills_localised_description_3k_main_skill_special_ability_fire_haolong"	"终极技能"	""
"effects_description_3k_main_skill_haolong"	"技能：诗仙剑序・太白行・飞剑决浮云"	""
"unit_ability_types_onscreen_name_3k_main_ability_baihua"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_baihua"	"神意化剑"	""
"unit_abilities_tooltip_text_3k_main_ability_baihua"	"自爆技能"	""
"unit_abilities_onscreen_name_3k_main_ability_baihua"	"神意化剑"	""
"special_ability_phases_onscreen_name_3k_main_ability_baihua"	"神意化剑"	""
"character_skills_localised_name_3k_main_skill_special_ability_fire_baihua"	"神意化剑"	""
"character_skills_localised_description_3k_main_skill_special_ability_fire_baihua"	"终极技能"	""
"effects_description_3k_main_skill_baihua"	"技能：神意化剑"	""
"unit_ability_types_onscreen_name_3k_main_ability_xinghai"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_xinghai"	"浩星归流"	""
"unit_abilities_tooltip_text_3k_main_ability_xinghai"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_xinghai"	"浩星归流"	""
"special_ability_phases_onscreen_name_3k_main_ability_xinghai"	"浩星归流"	""
"character_skills_localised_name_3k_main_skill_special_ability_water_xinghai"	"浩星归流"	""
"character_skills_localised_description_3k_main_skill_special_ability_water_xinghai"	"终极技能"	""
"effects_description_3k_main_skill_xinghai"	"技能：浩星归流"	""
"unit_ability_types_onscreen_name_3k_main_ability_yanhui"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_yanhui"	"凤翼燎原"	""
"unit_abilities_tooltip_text_3k_main_ability_yanhui"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_yanhui"	"凤翼燎原"	""
"special_ability_phases_onscreen_name_3k_main_ability_yanhui"	"凤翼燎原"	""
"character_skills_localised_name_3k_main_skill_special_ability_fire_yanhui"	"凤翼燎原"	""
"character_skills_localised_description_3k_main_skill_special_ability_fire_yanhui"	"终极技能"	""
"effects_description_3k_main_skill_yanhui"	"技能：凤翼燎原"	""
"unit_ability_types_onscreen_name_3k_main_ability_feng"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_feng"	"限制次数：∞"	""
"unit_abilities_tooltip_text_3k_main_ability_feng"	"镜流消耗自身生命值，召唤三支从天而降的巨剑，对目标造成范围杀伤。"	""
"unit_abilities_onscreen_name_3k_main_ability_feng"	"寒川映月"	""
"special_ability_phases_onscreen_name_3k_main_ability_feng"	"寒川映月"	""
"character_skills_localised_name_3k_main_skill_special_ability_wood_feng"	"寒川映月"	""
"character_skills_localised_description_3k_main_skill_special_ability_wood_feng"	"终极技能"	""
"effects_description_3k_main_skill_feng"	"技能：寒川映月"	""
"unit_ability_types_onscreen_name_3k_main_ability_tuhe"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_tuhe"	"点三清・开天光・大地之罚"	""
"unit_abilities_tooltip_text_3k_main_ability_tuhe"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_tuhe"	"点三清・开天光・大地之罚"	""
"special_ability_phases_onscreen_name_3k_main_ability_tuhe"	"点三清・开天光・大地之罚"	""
"character_skills_localised_name_3k_main_skill_special_ability_earth_tuhe"	"点三清・开天光・大地之罚"	""
"character_skills_localised_description_3k_main_skill_special_ability_earth_tuhe"	"终极技能"	""
"effects_description_3k_main_skill_tuhe"	"技能：点三清・开天光・大地之罚"	""
"unit_ability_types_onscreen_name_3k_main_ability_jiaolong"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_jiaolong"	"风雨尽寒涛"	""
"unit_abilities_tooltip_text_3k_main_ability_jiaolong"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_jiaolong"	"风雨尽寒涛"	""
"special_ability_phases_onscreen_name_3k_main_ability_jiaolong"	"风雨尽寒涛"	""
"character_skills_localised_name_3k_main_skill_special_ability_water_jiaolong"	"风雨尽寒涛"	""
"character_skills_localised_description_3k_main_skill_special_ability_water_jiaolong"	"终极技能"	""
"effects_description_3k_main_skill_jiaolong"	"技能：风雨尽寒涛"	""
"unit_ability_types_onscreen_name_3k_main_ability_yehuo"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_yehuo"	"冥海归元・天地双灭"	""
"unit_abilities_tooltip_text_3k_main_ability_yehuo"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_yehuo"	"冥海归元・天地双灭"	""
"special_ability_phases_onscreen_name_3k_main_ability_yehuo"	"冥海归元・天地双灭"	""
"character_skills_localised_name_3k_main_skill_special_ability_fire_yehuo"	"冥海归元・天地双灭"	""
"character_skills_localised_description_3k_main_skill_special_ability_fire_yehuo"	"终极技能"	""
"effects_description_3k_main_skill_yehuo"	"技能：冥海归元・天地双灭"	""
"unit_ability_types_onscreen_name_3k_main_ability_nulong"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_nulong"	"怒龙破军"	""
"unit_abilities_tooltip_text_3k_main_ability_nulong"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_nulong"	"怒龙破军"	""
"special_ability_phases_onscreen_name_3k_main_ability_nulong"	"怒龙破军"	""
"character_skills_localised_name_3k_main_skill_special_ability_wood_nulong"	"怒龙破军"	""
"character_skills_localised_description_3k_main_skill_special_ability_wood_nulong"	"终极技能"	""
"effects_description_3k_main_skill_nulong"	"技能：怒龙破军"	""
"unit_ability_types_onscreen_name_3k_main_ability_huodan"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_huodan"	"火丹炼狱"	""
"unit_abilities_tooltip_text_3k_main_ability_huodan"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_huodan"	"火丹炼狱"	""
"special_ability_phases_onscreen_name_3k_main_ability_huodan"	"火丹炼狱"	""
"character_skills_localised_name_3k_main_skill_special_ability_metal_huodan"	"火丹炼狱"	""
"character_skills_localised_description_3k_main_skill_special_ability_metal_huodan"	"终极技能"	""
"effects_description_3k_main_skill_huodan"	"技能：火丹炼狱"	""
"unit_ability_types_onscreen_name_3k_main_ability_jianqing"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_jianqing"	"诗仙剑序・太白行・横绝历四海"	""
"unit_abilities_tooltip_text_3k_main_ability_jianqing"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_jianqing"	"诗仙剑序・太白行・横绝历四海"	""
"special_ability_phases_onscreen_name_3k_main_ability_jianqing"	"诗仙剑序・太白行・横绝历四海"	""
"character_skills_localised_name_3k_main_skill_special_ability_metal_jianqing"	"诗仙剑序・太白行・横绝历四海"	""
"character_skills_localised_description_3k_main_skill_special_ability_metal_jianqing"	"终极技能"	""
"effects_description_3k_main_skill_jianqing"	"技能：诗仙剑序・太白行・横绝历四海"	""
"unit_ability_types_onscreen_name_3k_main_ability_leiting"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_leiting"	"无焰断章.玉律长曲动幽冥"	""
"unit_abilities_tooltip_text_3k_main_ability_leiting"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_leiting"	"无焰断章.玉律长曲动幽冥"	""
"special_ability_phases_onscreen_name_3k_main_ability_leiting"	"无焰断章.玉律长曲动幽冥"	""
"character_skills_localised_name_3k_main_skill_special_ability_metal_leiting"	"无焰断章.玉律长曲动幽冥"	""
"character_skills_localised_description_3k_main_skill_special_ability_metal_leiting"	"终极技能"	""
"effects_description_3k_main_skill_leiting"	"技能：无焰断章.玉律长曲动幽冥"	""
"unit_ability_types_onscreen_name_3k_main_ability_biduo"	"终极技能"	""
"unit_ability_types_localised_description_3k_main_ability_biduo"	"毁天灭地"	""
"unit_abilities_tooltip_text_3k_main_ability_biduo"	"终极技能"	""
"unit_abilities_onscreen_name_3k_main_ability_biduo"	"毁天灭地"	""
"special_ability_phases_onscreen_name_3k_main_ability_biduo"	"毁天灭地"	""
